experiment,tag,population,n_folds,auc_mean_over_folds,auc_sd_over_folds,auc_min,auc_max,ap_mean_over_folds,prevalence_mean
B1,MaxEnt_biswas15_LQHP,all,3,0.932120191916749,0.016394910949110244,0.9106395781532128,0.9504187447458396,0.4755469830681187,0.06455399804290518
B1,MaxEnt_biswas15_LQHP,forest,3,0.7870423880569325,0.03821279584706353,0.7542591551151069,0.8406398021686101,0.4953187184785544,0.22430559089819616
B1,MaxEnt_v2,all,3,0.956417015304758,0.012282813830783642,0.941231743793422,0.9713142332009588,0.5608843158303377,0.06455399804290518
B1,MaxEnt_v2,forest,3,0.828445374660158,0.028968690212571886,0.8056533113555446,0.8693230770026886,0.5629778111778336,0.22430559089819616
B1,RF_biswas15,all,3,0.9456208384208629,0.01748110092613316,0.9231403262305412,0.9657691393705403,0.5229426123006327,0.06455399804290518
B1,RF_biswas15,forest,3,0.8082843034685882,0.04180163108110493,0.7683380633711547,0.865997163422607,0.5342126779664166,0.22430559089819616
B1,RF_cdr7static,all,3,0.9486068877092974,0.012474425731323412,0.932686061526161,0.9631485177266494,0.4716207812691204,0.06455399804290518
B1,RF_cdr7static,forest,3,0.7931779763210801,0.02586544201901673,0.7714014736217778,0.8295195100503996,0.4728262463881728,0.22430559089819616
B1,RF_v1_corrlabel,all,3,0.9596834974861667,0.014475064231102716,0.942736297235335,0.9781012179590785,0.5819209878699109,0.06455399804290518
B1,RF_v1_corrlabel,forest,3,0.8379928969330664,0.04220475086585615,0.8036933156469236,0.8974453534043092,0.5828330721737561,0.22430559089819616
B1,RF_v2,all,3,0.9593519592598948,0.01406728745297631,0.9421594639606428,0.9766169117416105,0.5814967217039709,0.06455399804290518
B1,RF_v2,forest,3,0.8379859456697362,0.038630706367742816,0.8032688083205763,0.8918758364175156,0.582837364701554,0.22430559089819616
B2,MaxEnt_biswas15_LQHP,all,6,0.8558478230069593,0.0918915856889,0.6631503716952929,0.9194283156506047,0.26923181940096735,0.0800998290271445
B2,MaxEnt_biswas15_LQHP,forest,6,0.6732230175490046,0.10858823400399388,0.5119682394732837,0.7984353902725942,0.3053883183334759,0.19709568455270712
B2,MaxEnt_v2,all,6,0.9007437747893832,0.0667897276365698,0.7721838767507855,0.9740334841968156,0.3360030222839363,0.0800998290271445
B2,MaxEnt_v2,forest,6,0.7301984413615896,0.06056303081034974,0.637388510599143,0.7998331277795369,0.35085685263332295,0.19709568455270712
B2,RF_biswas15,all,6,0.8894072168163483,0.04839146664920013,0.7931527044950734,0.9327610080274455,0.33234658019901425,0.0800998290271445
B2,RF_biswas15,forest,6,0.7153228520177181,0.042524174512137365,0.6278574394676735,0.761980988907649,0.3518125154911058,0.19709568455270712
B2,RF_cdr7static,all,6,0.9231161174831976,0.047081947249729986,0.8375424726894714,0.9740403956355718,0.36493842665468357,0.0800998290271445
B2,RF_cdr7static,forest,6,0.7494682112057784,0.05593565657828651,0.6354122792470056,0.8046793396835448,0.3664556535828123,0.19709568455270712
B2,RF_v2,all,6,0.9351500598747875,0.0360251676328185,0.8674401605853361,0.9777055703327467,0.4115657975908184,0.0800998290271445
B2,RF_v2,forest,6,0.7821979123174468,0.03362573359652861,0.7242565711325195,0.8296496325715357,0.4128258734755681,0.19709568455270712
