model_A,model_B,question,population,n,prevalence,auc_A,auc_B,diff,se,ci95_lo,ci95_hi,z,p,ap_A,ap_B
RF_v2,RF_biswas15,added predictors / feature engineering,all,832154,0.06450969411911738,0.9749735078930122,0.9703848579817558,0.004588649911256404,0.00011645140627899902,0.004360405154949566,0.004816894667563242,39.403988821420754,0.0,0.7200315455718518,0.6919155343115708
RF_v2,RF_biswas15,added predictors / feature engineering,forest,238859,0.22390196726939324,0.8970765508252185,0.8847624436933208,0.012314107131897734,0.0003506366513402643,0.011626859295270816,0.01300135496852465,35.119281127140056,3.4235254685884803e-270,0.7212450121187544,0.6980307314386655
RF_v2,RF_v1_corrlabel,v2 vs v1 feature definitions (same label),all,832154,0.06450969411911738,0.9749735078930122,0.9753953825851449,-0.00042187469213272877,5.1978732732919725e-05,-0.0005237530082892514,-0.00031999637597620613,-8.11629429867848,4.806343128228428e-16,0.7200315455718518,0.7239801171323007
RF_v2,RF_v1_corrlabel,v2 vs v1 feature definitions (same label),forest,238859,0.22390196726939324,0.8970765508252185,0.8981236917587723,-0.0010471409335537363,0.00017697723543117508,-0.0013940163149988394,-0.0007002655521086332,-5.916811453193709,3.2824260324342628e-09,0.7212450121187544,0.7248032155838677
RF_v1_corrlabel,RF_v1_corrlabel_minus_labelderived,label-derived NDVI features,all,832154,0.06450969411911738,0.9753953825851449,0.9754539975617952,-5.861497665027304e-05,2.67883791229335e-05,-0.0001111201997312227,-6.109753569323389e-06,-2.188074776054399,0.028664155930679006,0.7239801171323007,0.7245985494970059
RF_v1_corrlabel,RF_v1_corrlabel_minus_labelderived,label-derived NDVI features,forest,238859,0.22390196726939324,0.8981236917587723,0.8983539235789565,-0.0002302318201842235,9.51353443638809e-05,-0.0004166970951374301,-4.3766545231016925e-05,-2.4200450602629378,0.015518583969515245,0.7248032155838677,0.725432053282728
RF_v2,RF_v2_minus_landcover,land-cover group,all,832154,0.06450969411911738,0.9749735078930122,0.9717121962859374,0.0032613116070747683,0.00010174495608087118,0.003061891493156261,0.003460731720993276,32.05379148704473,1.943895243287491e-225,0.7200315455718518,0.6982574082302331
RF_v2,RF_v2_minus_landcover,land-cover group,forest,238859,0.22390196726939324,0.8970765508252185,0.8893257231578502,0.007750827667368343,0.00030001878156164785,0.007162790855507513,0.008338864479229173,25.834474851954237,3.636309556971905e-147,0.7212450121187544,0.704223857611547
RF_v2,RF_v2_minus_trends,trend features (Seasonal Kendall / Sen),all,832154,0.06450969411911738,0.9749735078930122,0.9736256654046896,0.001347842488322537,4.244990973934504e-05,0.0012646406652334207,0.0014310443114116534,31.75136287918366,3.0406361015548635e-221,0.7200315455718518,0.7073457457422949
RF_v2,RF_v2_minus_trends,trend features (Seasonal Kendall / Sen),forest,238859,0.22390196726939324,0.8970765508252185,0.8914622807471964,0.005614270078022177,0.00015435294172578163,0.005311738312239645,0.005916801843804709,36.372938638230195,1.1404106741889487e-289,0.7212450121187544,0.7085677112262276
RF_v2,RF_v2_minus_terrain,terrain group,all,832154,0.06450969411911738,0.9749735078930122,0.9750764145645058,-0.00010290667149359667,3.920258838824739e-05,-0.00017974374473456157,-2.6069598252631784e-05,-2.624996861800259,0.008664976588400836,0.7200315455718518,0.7223578419378415
RF_v2,RF_v2_minus_terrain,terrain group,forest,238859,0.22390196726939324,0.8970765508252185,0.8976858314531672,-0.0006092806279486274,0.00010158120351901326,-0.0008083797868458934,-0.00041018146905136136,-5.997966226444506,1.9980406154969554e-09,0.7212450121187544,0.723583560902605
RF_v2,RF_cdr7static,CDR-PINO's 5 static covariates vs v2,all,832154,0.06450969411911738,0.9749735078930122,0.9576357872910982,0.017337720601913964,0.00016059317225804154,0.0170229579842882,0.017652483219539727,107.96050889421169,0.0,0.7200315455718518,0.546704821017803
RF_v2,RF_cdr7static,CDR-PINO's 5 static covariates vs v2,forest,238859,0.22390196726939324,0.8970765508252185,0.8261018908987768,0.0709746599264417,0.0006179130481936958,0.06976355035198205,0.07218576950090135,114.8618889565728,0.0,0.7212450121187544,0.5478791444670723
RF_biswas15,RF_cdr7static,Biswas-15 vs CDR-PINO's 5 static covariates,all,832154,0.06450969411911738,0.9703848579817558,0.9576357872910982,0.01274907069065756,0.00019388610258251287,0.012369053929595836,0.013129087451719285,65.75546426919324,0.0,0.6919155343115708,0.546704821017803
RF_biswas15,RF_cdr7static,Biswas-15 vs CDR-PINO's 5 static covariates,forest,238859,0.22390196726939324,0.8847624436933208,0.8261018908987768,0.05866055279454396,0.0006823758549273845,0.05732309611888629,0.05999800947020164,85.96516475628577,0.0,0.6980307314386655,0.5478791444670723
RF_v2,MaxEnt_v2,model family RF vs MaxEnt (v2),all,832154,0.06450969411911738,0.9749735078930122,0.9670182639277141,0.00795524396529812,0.0001195903551720473,0.007720846869160907,0.008189641061435333,66.5207821638576,0.0,0.7200315455718518,0.6626798529662142
RF_v2,MaxEnt_v2,model family RF vs MaxEnt (v2),forest,238859,0.22390196726939324,0.8970765508252185,0.8657435541770161,0.03133299664820244,0.0004554064502542903,0.03044040000570403,0.03222559329070085,68.80226801949487,0.0,0.7212450121187544,0.664417207397006
RF_biswas15,MaxEnt_biswas15_LQHP,model family RF vs MaxEnt (Biswas-15),all,832154,0.06450969411911738,0.9703848579817558,0.945086656579269,0.02529820140248673,0.0002897997471108062,0.024730193898149552,0.02586620890682391,87.29545713790375,0.0,0.6919155343115708,0.5629950925881853
RF_biswas15,MaxEnt_biswas15_LQHP,model family RF vs MaxEnt (Biswas-15),forest,238859,0.22390196726939324,0.8847624436933208,0.8177910334214495,0.06697141027187126,0.0006152620808334147,0.06576549659343776,0.06817732395030475,108.85021579934502,0.0,0.6980307314386655,0.5769018625404728
MaxEnt_v2,MaxEnt_biswas15_LQHP,added predictors under MaxEnt,all,832154,0.06450969411911738,0.9670182639277141,0.945086656579269,0.021931607348445015,0.00031355369478672365,0.021317042106663037,0.022546172590226992,69.9453003204529,0.0,0.6626798529662142,0.5629950925881853
MaxEnt_v2,MaxEnt_biswas15_LQHP,added predictors under MaxEnt,forest,238859,0.22390196726939324,0.8657435541770161,0.8177910334214495,0.04795252075556655,0.0007131155230337535,0.04655481433042039,0.04935022718071271,67.24369223034967,0.0,0.664417207397006,0.5769018625404728
RF_v2,RF_v2_lst005,LST at 0.05 deg (MOD11C3 resolution proxy),all,832154,0.06450969411911738,0.9749735078930122,0.97504410196255,-7.059406953779934e-05,3.058742399708981e-05,-0.00013054542057209536,-1.0642718503503321e-05,-2.307944256584533,0.02100223710480928,0.7200315455718518,0.721077616392793
RF_v2,RF_v2_lst005,LST at 0.05 deg (MOD11C3 resolution proxy),forest,238859,0.22390196726939324,0.8970765508252185,0.8972891671559441,-0.00021261633072555686,9.308432298612015e-05,-0.00039506160377835234,-3.017105767276135e-05,-2.284126090246799,0.02236412165523477,0.7212450121187544,0.7222859256430106
RF_v2,RF_v2_slopezt,slope algorithm Horn vs Zevenbergen-Thorne,all,832154,0.06450969411911738,0.9749735078930122,0.9749776017137967,-4.09382078447873e-06,3.053590317944904e-05,-6.394419101619884e-05,5.575654944724139e-05,-0.13406581624328412,0.8933505302587369,0.7200315455718518,0.7207281487048067
RF_v2,RF_v2_slopezt,slope algorithm Horn vs Zevenbergen-Thorne,forest,238859,0.22390196726939324,0.8970765508252185,0.8971050301757162,-2.8479350497656597e-05,8.100647764451415e-05,-0.00018725204668090434,0.00013029334568559115,-0.35156880444344624,0.7251616638577741,0.7212450121187544,0.7219571728664347
RF_v2,RF_v2_slope025,slope from 0.25 deg DEM (Biswas-resolution proxy),all,832154,0.06450969411911738,0.9749735078930122,0.9750530265878163,-7.95186948041593e-05,3.4161908223991e-05,-0.00014647603492318165,-1.2561354685136937e-05,-2.327700615632338,0.01992800643884591,0.7200315455718518,0.7209245055942483
RF_v2,RF_v2_slope025,slope from 0.25 deg DEM (Biswas-resolution proxy),forest,238859,0.22390196726939324,0.8970765508252185,0.8975567823221795,-0.00048023149696097,9.060526914896489e-05,-0.0006578178244929411,-0.0003026451694289988,-5.300260144599508,1.1563779262403251e-07,0.7212450121187544,0.7221508090178382
