experiment,tag,population,model,features,label,split,fold,region,n,n_pos,prevalence,roc_auc,ap,auc_ci95,ap_ci95,brier,ece,logloss,thr_valmaxF1,precision,recall_sensitivity,specificity,f1,train_rows,fit_sec,date
repro,RF_v1_histlabel_80_20,all,RF,v1_57,y_v1_hist_shifted,80/20 stratified rs42,,,832202,54015,0.06490611654381989,0.9704471015873686,0.7011235367097762,,,0.05314677428565261,0.07033910870011124,0.16479424156314354,,,,,,3328807.0,252.81775426864624,2026-09-24T18:25:11
repro,MaxEnt_v1_histlabel_80_20_150k,all,MaxEnt(elapid),v1_57,y_v1_hist_shifted,80/20 stratified rs42,,,832202,54015,0.06490611654381989,0.959807125778993,0.6275323865193543,,,0.04054975357446056,0.027406790852761424,0.1409932294628158,,,,,,150000.0,1894.537757396698,2026-09-24T18:57:29
trackA,RF_v2,all,RF,v2_57,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9749735084314194,0.720031563442909,"[0.9746357107237841, 0.9752431677957626]","[0.7166142640515272, 0.7231197099161268]",0.05116293964225179,0.063979011170038,0.154874712632988,0.7998798065797879,0.6147599373130076,0.7234268469878171,0.9687387600324738,0.6646812662062592,2704498.0,162.5016486644745,2026-09-24T19:01:12
trackA,RF_v2,forest,RF,v2_57,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8970765520860362,0.7212450297922128,"[0.8957320048431764, 0.898264983413361]","[0.7181288001327721, 0.7241527076284159]",0.17745090543324005,0.21929257861754695,0.5332675779778085,0.7998798065797879,0.6146463526654208,0.7256782782670481,0.8687438638889189,0.6655633965855793,2704498.0,162.5016486644745,2026-09-24T19:01:12
trackA,RF_v1_corrlabel,all,RF,v1_57,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9753953830039062,0.7239802067269053,"[0.9750583717042507, 0.9756588626815191]","[0.7210379180494524, 0.7269293785161854]",0.050021325078847066,0.06283402102591269,0.15157720831529606,0.7950509120287995,0.6234050487199857,0.7162736112663463,0.970162061063211,0.6666204349823597,2704498.0,155.32460522651672,2026-09-24T19:07:28
trackA,RF_v1_corrlabel,forest,RF,v1_57,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.898123693372619,0.724803305315416,"[0.896856799878824, 0.8993763513707757]","[0.7217229302921067, 0.7275966806177596]",0.17345255407704457,0.21547507319606876,0.5227727020682513,0.7968413045431949,0.6249857201142391,0.7160673884183167,0.8760424645858732,0.667433511101816,2704498.0,155.32460522651672,2026-09-24T19:07:28
trackA,RF_v1_corrlabel_minus_labelderived,all,RF,v1_minus_labelderived,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9754539976096536,0.7245985631747756,"[0.9751452067910406, 0.9757458251192525]","[0.7217145684170316, 0.7277276534800583]",0.05008326414855688,0.06294660628587265,0.1517941530419933,0.7761216647247596,0.6093980570585342,0.7385157035877948,0.9673578497364067,0.6677727433509071,2704498.0,155.29963088035583,2026-09-24T19:10:53
trackA,RF_v1_corrlabel_minus_labelderived,forest,RF,v1_minus_labelderived,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8983539237806873,0.7254320671493236,"[0.8970706766969282, 0.8996012213606445]","[0.7224105547761979, 0.728018422420172]",0.1736757915752639,0.21598618754466564,0.5235894083121225,0.7865814798592932,0.6171954154002026,0.7289878648491988,0.8695584157774925,0.6684497938259222,2704498.0,155.29963088035583,2026-09-24T19:10:53
trackA,RF_v1_histlabel,all,RF,v1_57,y_v1_hist_shifted,v2 random 65/15/20 stratified rs42,,,832154,53757,0.06459982166762403,0.9699103043246369,0.6947292356347157,"[0.969573473458172, 0.970275359502764]","[0.6921811790565111, 0.6980790494265562]",0.0531167306677671,0.0699028045134294,0.16474573321832148,0.7750350295282253,0.6003614343235788,0.7045035995312239,0.967612927593503,0.6482766884345125,2704498.0,162.98003506660461,2026-09-24T19:14:32
trackA,RF_v1_histlabel,forest,RF,v1_57,y_v1_hist_shifted,v2 random 65/15/20 stratified rs42,,,238859,52803,0.2210634725926174,0.8867193691239562,0.7015894967050997,"[0.8851685247699603, 0.8885442529818534]","[0.6973811161756143, 0.7056171348384598]",0.179974738150271,0.2258962642181619,0.5428185452973338,0.7924559792126418,0.6148050164928085,0.6953771566009507,0.8763544309240229,0.6526136181860193,2704498.0,162.98003506660461,2026-09-24T19:14:32
